STATION,DATE,LATITUDE,LONGITUDE,AIR_TEMP,SST_MM
Indiana,1880-03-10T15:00:00,39.83,-71.4,44.1,0
Indiana,1880-03-10T17:00:00,39.62,-71.87,43,0
Indiana,1880-03-10T19:00:00,39.42,-72.29,43,0
Indiana,1880-03-10T21:00:00,39.22,-72.72,43,0
Indiana,1880-03-10T23:00:00,39.02,-73.15,42.1,0
Indiana,1880-03-11T01:00:00,38.83,-73.57,42.1,0
Indiana,1880-03-11T03:00:00,38.85,-74.07,42.1,0
Indiana,1880-03-11T05:00:00,38.86,-74.44,43,0
Indiana,1880-03-19T15:00:00,38.96,-74.74,,
Indiana,1880-03-19T17:00:00,38.82,-74.52,42.1,0
Indiana,1880-03-19T19:00:00,38.78,-74.05,44.1,0
Indiana,1880-03-19T21:00:00,38.74,-73.54,45,0
Indiana,1880-03-19T23:00:00,38.71,-73.11,43,0
Indiana,1880-03-20T01:00:00,38.68,-72.77,44.1,0
Indiana,1880-03-20T03:00:00,38.66,-72.43,44.1,0
Indiana,1880-03-20T05:00:00,38.63,-72.09,44.1,0
Indiana,1880-03-20T07:00:00,38.97,-71.53,45,0
Indiana,1880-03-20T09:00:00,38.96,-71.04,46.9,0
Indiana,1880-03-20T11:00:00,38.96,-70.56,46.9,0
Indiana,1880-03-20T13:00:00,38.95,-70.05,48,0
Indiana,1880-03-10T02:00:00,39.93,-67.68,39.9,0
Indiana,1880-03-10T04:00:00,39.67,-68.13,39.9,0
Indiana,1880-03-20T15:00:00,38.94,-69.62,48.9,0
Indiana,1880-03-20T17:00:00,38.93,-69.15,50,0
Indiana,1880-03-20T19:00:00,38.93,-68.68,50,0
Indiana,1880-03-20T21:00:00,38.92,-68.21,52,0
Indiana,1880-03-20T23:00:00,38.91,-67.67,52,0
Indiana,1880-03-21T01:00:00,38.9,-67.18,48,0
Indiana,1880-03-21T03:00:00,38.89,-66.67,46,0
Indiana,1880-03-21T05:00:00,38.89,-66.17,46,0
Indiana,1880-03-21T06:00:00,39.52,-65.99,46,0
Indiana,1880-03-21T08:00:00,39.54,-65.5,48,0
Indiana,1880-03-21T10:00:00,39.56,-65,45,0
Indiana,1880-03-21T12:00:00,39.59,-64.48,43,0
Indiana,1880-03-21T14:00:00,39.61,-64.01,45,0
Indiana,1880-03-21T16:00:00,39.63,-63.62,41,0
Indiana,1880-03-21T18:00:00,39.58,-63.12,39,0
Indiana,1880-03-21T20:00:00,39.53,-62.63,39.9,0
Indiana,1880-03-21T22:00:00,39.48,-62.14,41,0
Indiana,1880-03-22T00:00:00,39.43,-61.62,42.1,0
Indiana,1880-03-22T02:00:00,39.37,-61.06,39.9,0
Indiana,1880-03-22T04:00:00,39.32,-60.51,41,0
Indiana,1880-03-10T09:00:00,40.47,-70.03,37.9,0
Indiana,1880-03-10T11:00:00,40.25,-70.49,39.9,0
Indiana,1880-03-10T13:00:00,40.04,-70.96,44.1,0
Indiana,1880-03-08T22:00:00,41.52,-60.43,42.1,0
Indiana,1880-03-09T00:00:00,41.36,-60.99,46.9,0
Indiana,1880-03-09T02:00:00,41.21,-61.51,39.9,0
Indiana,1880-03-09T04:00:00,41.06,-62.04,37.9,0
Indiana,1880-03-09T06:00:00,42.07,-62.98,35.1,0
Indiana,1880-03-09T08:00:00,41.95,-63.54,32,0
Indiana,1880-03-09T10:00:00,41.85,-64.05,32,0
Indiana,1880-03-09T12:00:00,41.74,-64.57,30.9,0
Indiana,1880-03-09T14:00:00,41.63,-65.13,30.9,0
Indiana,1880-03-09T16:00:00,41.5,-65.75,30.9,0
Indiana,1880-03-09T18:00:00,41.19,-66.11,36,0
Indiana,1880-03-09T20:00:00,40.87,-66.48,39.9,0
Indiana,1880-03-09T22:00:00,40.53,-66.87,36,0
Indiana,1880-03-10T00:00:00,40.13,-67.33,36,0
Indiana,1880-03-10T07:00:00,40.69,-69.55,37.9,0
Indiana,1880-03-08T18:00:00,41.83,-59.34,46.9,0
Indiana,1880-03-08T20:00:00,41.67,-59.9,50,0
Indiana,1880-03-22T06:00:00,40.47,-59.84,42.1,0
Indiana,1880-03-22T08:00:00,40.45,-59.27,43,0
