STATION,DATE,LATITUDE,LONGITUDE,AIR_TEMP,SEA_SURF_TEMP
6584,1864-01-11T00:00:00,35.78,-74.12,,
6584,1864-01-11T02:00:00,35.58,-73.8,,
6584,1864-01-11T04:00:00,35.37,-73.47,,
62030785,1864-01-11T05:00:00,35.5,-74.5,,
6584,1864-01-11T06:00:00,35.12,-73.28,,70.2
6584,1864-01-11T08:00:00,34.85,-73.1,,70.2
6584,1864-01-11T09:00:00,34.72,-73.02,48.2,69.1
62030785,1864-01-11T09:00:00,35.5,-73.5,,
6584,1864-01-11T10:00:00,34.7,-72.8,49.1,69.1
6584,1864-01-11T12:00:00,34.65,-72.38,49.1,70.2
62030785,1864-01-11T13:00:00,34.5,-73.5,,70.2
6584,1864-01-11T14:00:00,34.48,-72.17,49.1,66.9
6584,1864-01-11T15:00:00,34.4,-72.07,49.5,66.9
6584,1864-01-11T16:00:00,34.33,-71.95,49.8,66.9
62030785,1864-01-11T17:00:00,34.5,-71.5,53.4,70.2
6584,1864-01-11T18:00:00,34.17,-71.73,50.9,66.9
6584,1864-01-11T20:00:00,34,-71.5,53.1,66.9
62030785,1864-01-11T21:00:00,34.5,-71.5,54.3,66.9
6584,1864-01-11T22:00:00,33.58,-71.42,53.1,63.5
6584,1864-01-12T00:00:00,33.17,-71.33,52.7,63.5
62030785,1864-01-12T01:00:00,34.5,-71.5,58.3,66.9
6584,1864-01-12T02:00:00,33.42,-71.52,54.1,66.9
6584,1864-01-12T04:00:00,33.67,-71.7,55.4,68
62030785,1864-01-12T05:00:00,33.5,-71.5,57.9,63.5
6584,1864-01-12T06:00:00,33.9,-71.88,56.3,68
6584,1864-01-12T08:00:00,34.15,-72.07,56.5,66.9
6584,1864-01-12T09:00:00,34.28,-72.17,56.7,66.9
62030785,1864-01-12T09:00:00,33.5,-71.5,61.2,68
6584,1864-01-12T10:00:00,34.4,-72.25,57,66.9
6584,1864-01-12T12:00:00,34.65,-72.43,57.6,68
62030785,1864-01-12T13:00:00,34.5,-72.5,62.6,66.9
6584,1864-01-12T14:00:00,34.65,-72.32,59.4,69.1
6584,1864-01-12T15:00:00,34.67,-72.25,59.4,68
6584,1864-01-12T16:00:00,34.45,-72.05,59,68
62030785,1864-01-12T17:00:00,34.5,-72.5,63.9,68
6584,1864-01-12T18:00:00,34,-71.67,59,68
6584,1864-01-12T20:00:00,33.57,-71.28,59.9,68
62030785,1864-01-12T21:00:00,34.5,-72.5,65.7,68
6584,1864-01-12T22:00:00,33.12,-70.88,59.4,69.1
6584,1864-01-13T00:00:00,32.67,-70.5,59.9,68
62030785,1864-01-13T01:00:00,33.5,-71.5,66.9,68
6584,1864-01-13T02:00:00,32.23,-70.23,59.7,68
6584,1864-01-13T04:00:00,31.8,-69.97,59.7,68
62030785,1864-01-13T05:00:00,32.5,-70.5,66.9,68
6584,1864-01-13T06:00:00,31.38,-69.72,59.9,68
6584,1864-01-13T08:00:00,30.95,-69.45,60.3,68
6584,1864-01-13T09:00:00,30.73,-69.32,61.7,68
62030785,1864-01-13T09:00:00,31.5,-69.5,66.6,68
